Souche;Tronc;Element;Sarement;Rameau;Rang;x;y;z
2;1;8.a;1.1;1;7;41.66;41.65;101.81
2;1;8.a;1.1;2;0;56.63;35.03;72.78
2;1;8.a;1.1;2;1;56.92;35.35;72.79
2;1;8.a;1.1;2;2;57.87;36.15;72.4
2;1;8.a;1.1;2;3;58.5;37.49;74.26
2;1;8.a;1.1;2;4;59.97;39.24;78.78
2;1;8.a;1.1;2;5;60.9;41.28;84.54
2;1;8.a;1.1;2;6;62.97;42.27;92.97
2;1;8.a;1.1;2;7;64.36;43;104.45
2;1;8.a;1.2;0;0;54.32;32.24;69.3495
2;1;8.a;1.2;1;0;54.32;32.24;70.05
2;1;8.a;1.2;1;1;54.21;31.88;70.45
2;1;8.a;1.2;1;2;55.36;30.52;74.09
2;1;8.a;1.2;1;3;56.17;29.69;78.93
2;1;8.a;1.2;1;4;56.58;28.54;84.77
2;1;8.a;1.2;2;0;57.21;33.26;72.69
2;1;8.a;1.2;2;1;57.18;32.8;73.1
2;1;8.a;1.2;2;2;57.57;32.92;73.51
2;1;8.a;1.2;2;3;58.33;33.32;75.03
2;1;8.a;1.2;2;4;60.23;33.91;77.71
2;1;8.a;1.2;2;5;63.11;35.38;83.85
2;1;8.a;1.2;2;6;67.15;36.77;91.09
2;1;8.a;1.2;2;7;69.56;38.73;100.39
2;2;1;0;0;0;-6;-8;65
2;2;2;0;0;0;-8;-15;64
2;2;3;0;0;0;-12;-22;63
2;2;4;0;0;0;-14;-24;62
2;2;5;0;0;0;-18;-33;62
2;2;5.a;0;0;0;-23;-30;68
2;2;5.a;1;0;0;-25.94;-33.34;70.29
2;2;5.a;1;1;0;-25.94;-33.34;71
2;2;5.a;1;1;1;-26.1;-33.69;70.86
2;2;5.a;1;1;2;-26.95;-34.6;72.68
2;2;5.a;1;2;0;-24.95;-33.24;71.7
2;2;5.a;1;2;1;-24.47;-32.9;71.42
2;2;5.a;1;2;2;-24.31;-32.84;71.68
2;2;5.a;1;2;3;-23.77;-32.62;73.78
2;2;5.a;1;2;4;-22.13;-32.96;77.25
2;2;5.a;1;2;5;-20.39;-32.4;83.44
2;2;5.a;1;2;6;-17.84;-33.93;91.28
2;2;5.a;1;2;7;-14.72;-33.5;100.72
2;2;5.a;2;0;0;-26.89;-33.53;66.6567
2;2;5.a;2;1;0;-26.89;-33.53;67.33
2;2;5.a;2;1;1;-25.27;-34.79;67.34
2;2;5.a;2;1;2;-23.79;-36.51;68.32
2;2;5.a;2;2;0;-28.3;-31.7;71
2;2;5.a;2;2;1;-28.65;-31.73;71.16
2;2;5.a;2;2;2;-29.09;-31.86;71.76
2;2;5.a;2;2;3;-29.83;-31.8;74.12
2;2;5.a;2;2;4;-30.35;-31.89;78.45
2;2;5.a;2;2;5;-30.43;-31.83;85.29
2;2;5.a;2;2;6;-30.21;-32.39;93.11
2;2;5.a;2;2;7;-29.27;-34.08;104.58
2;2;5.b;0;0;0;-30;-34;60
2;2;5.b;1;0;0;-31.98;-34.05;65.1321
2;2;5.b;1;1;0;-31.98;-34.05;65.79
2;2;5.b;1;1;1;-31.96;-34.05;65.45
2;2;5.b;1;1;2;-32.36;-33.88;65.28
2;2;5.b;1;1;3;-34.93;-33.5;65.11
2;2;5.b;1;1;4;-40.6;-33.99;66.96
2;2;5.b;1;1;5;-47.53;-36.55;67.46
2;2;5.b;1;1;6;-52.91;-39.08;68.61
2;2;5.b;1;2;0;-32.09;-34.9;68.42
2;2;5.b;1;2;1;-31.81;-35.08;68.36
2;2;5.b;1;2;2;-31.6;-36.8;70.59
2;2;5.b;1;2;3;-32.46;-37.96;75.43
2;2;5.b;1;2;4;-32.86;-39.34;81.51
2;2;5.b;1;2;5;-32.56;-38.53;90.01
2;2;5.b;1;2;6;-33.86;-39.54;100.86
2;2;5.b;1;2;7;-34.33;-38.98;110.95
2;2;6;0;0;0;-36;-36;56
2;2;6.a;0;0;0;-40;-36;61
2;2;6.a;1;0;0;-44.33;-36.15;64.9638
2;2;6.a;1;1;0;-44.33;-36.15;65.62
2;2;6.a;1;1;1;-43.8;-35.98;65.35
2;2;6.a;1;1;2;-42.55;-36.48;66.19
2;2;6.a;1;1;3;-40.51;-37.43;68.78
2;2;6.a;1;1;4;-38.53;-37.62;73.27
2;2;6.a;1;1;5;-35.61;-38.41;80.1
2;2;6.a;1;1;6;-31.71;-38.38;90.51
2;2;6.a;1;1;7;-28.78;-39.39;99.21
2;2;6.a;1;2;0;-43.8;-38.21;67.67
2;2;6.a;1;2;1;-44.01;-38.37;67.9
2;2;6.a;1;2;2;-44.45;-38.86;68.36
2;2;6.a;1;2;3;-45.41;-39.1;70.06
2;2;6.a;1;2;4;-46.4;-39.64;73.82
2;2;6.a;1;2;5;-47.51;-39.32;78.79
2;2;6.a;1;2;6;-49.81;-39.16;85.93
2;2;6.a;1;2;7;-52.27;-38.25;95.22
2;2;6.a;2;0;0;-46;-33.23;64.9539
2;2;6.a;2;1;0;-46;-33.23;65.61
2;2;6.a;2;1;1;-45.59;-33.47;65.89
2;2;6.a;2;1;2;-45.28;-32.66;66.35
2;2;6.a;2;1;3;-43.04;-30.8;69.55
2;2;6.a;2;1;4;-41.38;-26.97;73.51
2;2;6.a;2;1;5;-38.64;-22.04;77.32
2;2;6.a;2;2;0;-47.36;-34;68.38
2;2;6.a;2;2;1;-47.23;-34.33;68.21
2;2;6.a;2;2;2;-46.58;-34.86;68.78
2;2;6.a;2;2;3;-46.26;-35.58;70.52
2;2;6.a;2;2;4;-44.76;-36.13;74.16
2;2;6.a;2;2;5;-42.74;-37.63;78
2;2;6.a;2;2;6;-39.72;-38.82;84.69
2;2;6.b;0;0;0;-47;-34;64
2;2;6.b;1;0;0;-51.02;-34.87;68.0625
2;2;6.b;1;1;0;-51.02;-34.87;68.75
2;2;6.b;1;1;1;-50.73;-34.76;68.71
2;2;6.b;1;1;2;-50.3;-34.6;68.87
2;2;6.b;1;1;3;-49.89;-34.11;70.13
2;2;6.b;1;1;4;-50.04;-32.52;72.47
2;2;6.b;1;1;5;-49.48;-31.76;76.47
2;2;6.b;1;1;6;-49.65;-29.33;81.89
2;2;6.b;1;2;0;-53.69;-35.81;66.57
2;2;6.b;1;2;1;-54.19;-35.78;66.74
2;2;6.b;1;2;2;-55.85;-36.63;66.98
2;2;6.b;2;0;0;-54.53;-33.58;65.5875
2;2;6.b;2;1;0;-54.53;-33.58;66.25
2;2;6.b;2;1;1;-55.15;-33.28;66.55
2;2;6.b;2;1;2;-55.26;-33.15;67.91
2;2;6.b;2;1;3;-56.85;-32.33;70.85
2;2;6.b;2;1;4;-58.35;-30.59;74.95
2;2;6.b;2;1;5;-62.78;-29.13;81.42
2;2;6.b;2;1;6;-64.88;-27.02;88.33
2;2;6.b;2;1;7;-69.23;-26.92;95.32
2;2;6.b;2;2;0;-53.89;-34;69.02
2;2;6.b;2;2;1;-53.23;-34.05;69.51
2;2;6.b;2;2;2;-52.91;-34.21;69.88
2;2;6.b;2;2;3;-52.69;-35.09;72.15
2;2;6.b;2;2;4;-52.33;-35.76;77.48
2;2;6.b;2;2;5;-52.44;-37.87;83.46
2;2;6.b;2;2;6;-50.7;-38.05;92.26
2;2;6.b;2;2;7;-49.39;-41.14;104.49
